key,enabled,identity,password,username
user-account-customer-16,true,"UserIdentity{name: 'Alba', surname: 'Lara', email: 'customer16@acme.com'}",customer16,customer16
user-account-customer-17,true,"UserIdentity{name: 'Hugo', surname: 'Lopez', email: 'customer17@acme.com'}",customer17,customer17
user-account-customer-18,true,"UserIdentity{name: 'Ines', surname: 'Lora', email: 'customer18@acme.com'}",customer18,customer18
user-account-customer-19,true,"UserIdentity{name: 'Lucia', surname: 'Lora', email: 'customer19@acme.com'}",customer19,customer19
user-account-customer-20,true,"UserIdentity{name: 'Victor', surname: 'Lora', email: 'customer20@acme.com'}",customer20,customer20
user-account-customer-21,true,"UserIdentity{name: 'Pedro', surname: 'Lek', email: 'customer21@acme.com'}",customer21,customer21
user-account-customer-22,true,"UserIdentity{name: 'Tao', surname: 'Lian', email: 'customer22@acme.com'}",customer22,customer22
user-account-customer-23,true,"UserIdentity{name: 'Omar', surname: 'Latif', email: 'customer23@acme.com'}",customer23,customer23
user-account-customer-24,true,"UserIdentity{name: 'Rahul', surname: 'Kumar', email: 'customer24@acme.com'}",customer24,customer24
user-account-customer-25,true,"UserIdentity{name: 'Haruki', surname: 'Kawamura', email: 'customer25@acme.com'}",customer25,customer25
user-account-customer-26,true,"UserIdentity{name: 'Salim', surname: 'Khalid', email: 'customer26@acme.com'}",customer26,customer26
user-account-customer-27,true,"UserIdentity{name: 'Antonio', surname: 'Lopez', email: 'customer27@acme.com'}",customer27,customer27
user-account-customer-28,true,"UserIdentity{name: 'Bea', surname: 'Lorenzo', email: 'customer28@acme.com'}",customer28,customer28
user-account-customer-29,true,"UserIdentity{name: 'Celia', surname: 'Lugo', email: 'customer29@acme.com'}",customer29,customer29
user-account-customer-30,true,"UserIdentity{name: 'David', surname: 'Lira', email: 'customer30@acme.com'}",customer30,customer30
user-account-manager-01,true,"UserIdentity{name: 'Rafael Luis', surname: 'Mejías', email: 'pablomb@acme.com'}",manager1,manager1
user-account-manager-02,true,"UserIdentity{name: 'Fernando', surname: 'Alonso', email: 'elnano@acme.com'}",manager2,manager2
user-account-manager-03,true,"UserIdentity{name: 'Jane', surname: 'Doe', email: 'janedoe@acme.com'}",manager3,manager3
user-account-flight-crew-member-01,true,"UserIdentity{name: 'Juan', surname: 'Juan', email: 'juanillo@acme.com'}",member1,member1
user-account-flight-crew-member-02,true,"UserIdentity{name: 'Teodoro', surname: 'Th', email: 'teache@acme.com'}",member2,member2
user-account-flight-crew-member-03,true,"UserIdentity{name: 'Jose', surname: 'JS', email: 'js@acme.com'}",member3,member3
user-account-flight-crew-member-04,true,"UserIdentity{name: 'Pedro', surname: 'JS', email: 'pedri@acme.com'}",member4,member4
user-account-flight-crew-member-05,true,"UserIdentity{name: 'Alberto', surname: 'JS', email: 'alb@acme.com'}",member,member
user-account-agent-01,true,"UserIdentity{name: 'Alberto', surname: 'Campana', email: 'alb@acme.com'}",agent1,agent1
user-account-agent-02,true,"UserIdentity{name: 'Denia', surname: 'Espeto', email: 'denia@acme.com'}",agent2,agent2
user-account-agent-03,true,"UserIdentity{name: 'Gonzalo', surname: 'Hidalgo',email: 'gonsi@acme.com'}",agent3,agent3
user-account-technician-01, true, "UserIdentity{name: 'Coque', surname: 'García',email: 'coque@acme.com'}",technician1,technician1
user-account-technician-02, true, "UserIdentity{name: 'Jose María', surname: 'Güiza',email: 'dg90@acme.com'}",technician2,technician2
user-account-technician-03, true, "UserIdentity{name: 'Rubén', surname: 'Hleb',email: 'fcb@acme.com'}",technician3,technician3
user-account-technician-04, true, "UserIdentity{name: 'Javier', surname: 'Saviola',email: 'technician4@acme.com'}",technician4,technician4
user-account-technician-05, true, "UserIdentity{name: 'Samuel', surname: 'Etoo',email: 'technician5@acme.com'}",technician5,technician5
user-account-technician-06, true, "UserIdentity{name: 'Ronaldinho', surname: 'Gaucho',email: 'technician6@acme.com'}",technician6,technician6
user-account-technician-07, true, "UserIdentity{name: 'Lionel', surname: 'Messi',email: 'technician7@acme.com'}",technician7,technician7
user-account-technician-08, true, "UserIdentity{name: 'Andrés', surname: 'Iniesta',email: 'technician8@acme.com'}",technician8,technician8
user-account-technician-09, true, "UserIdentity{name: 'Xavi', surname: 'Hernández',email: 'technician9@acme.com'}",technician9,technician9
user-account-technician-10, true, "UserIdentity{name: 'Carles', surname: 'Puyol',email: 'technician10@acme.com'}",technician10,technician10
user-account-technician-11, true, "UserIdentity{name: 'Gerard', surname: 'Piqué',email: 'technician11@acme.com'}",technician11,technician11
user-account-technician-12, true, "UserIdentity{name: 'Sergio', surname: 'Busquets',email: 'technician12@acme.com'}",technician12,technician12
user-account-technician-13, true, "UserIdentity{name: 'Dani', surname: 'Alves',email: 'technician13@acme.com'}",technician13,technician13
user-account-technician-14, true, "UserIdentity{name: 'Thierry', surname: 'Henry',email: 'technician14@acme.com'}",technician14,technician14
user-account-technician-15, true, "UserIdentity{name: 'David', surname: 'Villa',email: 'technician15@acme.com'}",technician15,technician15
user-account-technician-16, true, "UserIdentity{name: 'Pedro', surname: 'Rodríguez',email: 'technician16@acme.com'}",technician16,technician16
user-account-technician-17, true, "UserIdentity{name: 'Victor', surname: 'Valdés',email: 'technician17@acme.com'}",technician17,technician17
user-account-technician-18, true, "UserIdentity{name: 'Neymar', surname: 'Junior',email: 'technician18@acme.com'}",technician18,technician18
user-account-technician-19, true, "UserIdentity{name: 'Luis', surname: 'Suárez',email: 'technician19@acme.com'}",technician19,technician19
user-account-technician-20, true, "UserIdentity{name: 'Marc-André', surname: 'Ter Stegen',email: 'technician20@acme.com'}",technician20,technician20
user-account-technician-21, true, "UserIdentity{name: 'Deco', surname: 'Souza',email: 'technician21@acme.com'}",technician21,technician21
user-account-technician-22, true, "UserIdentity{name: 'Patrick', surname: 'Kluivert',email: 'technician22@acme.com'}",technician22,technician22
user-account-technician-23, true, "UserIdentity{name: 'Rivaldo', surname: 'Vítor',email: 'technician23@acme.com'}",technician23,technician23
user-account-technician-24, true, "UserIdentity{name: 'Luis', surname: 'Enrique',email: 'technician24@acme.com'}",technician24,technician24
user-account-technician-25, true, "UserIdentity{name: 'Pep', surname: 'Guardiola',email: 'technician25@acme.com'}",technician25,technician25
user-account-technician-26, true, "UserIdentity{name: 'Ivan', surname: 'Rakitic',email: 'technician26@acme.com'}",technician26,technician26
user-account-technician-27, true, "UserIdentity{name: 'Paulinho', surname: 'Bezerra',email: 'technician27@acme.com'}",technician27,technician27
user-account-technician-28, true, "UserIdentity{name: 'Jordi', surname: 'Alba',email: 'technician28@acme.com'}",technician28,technician28
user-account-technician-29, true, "UserIdentity{name: 'Sergi', surname: 'Roberto',email: 'technician29@acme.com'}",technician29,technician29
user-account-technician-30, true, "UserIdentity{name: 'Ansu', surname: 'Fati',email: 'technician30@acme.com'}",technician30,technician30
user-account-technician-31, true, "UserIdentity{name: 'Ferran', surname: 'Torres',email: 'technician31@acme.com'}",technician31,technician31
user-account-technician-32, true, "UserIdentity{name: 'Robert', surname: 'Lewandowski',email: 'technician32@acme.com'}",technician32,technician32
user-account-technician-33, true, "UserIdentity{name: 'Memphis', surname: 'Depay',email: 'technician33@acme.com'}",technician33,technician33
user-account-technician-34, true, "UserIdentity{name: 'Pierre-Emerick', surname: 'Aubameyang',email: 'technician34@acme.com'}",technician34,technician34
user-account-technician-35, true, "UserIdentity{name: 'Eric', surname: 'Abidal',email: 'technician35@acme.com'}",technician35,technician35
user-account-technician-36, true, "UserIdentity{name: 'Frank', surname: 'de Boer',email: 'technician36@acme.com'}",technician36,technician36
user-account-technician-37, true, "UserIdentity{name: 'Ronald', surname: 'Koeman',email: 'technician37@acme.com'}",technician37,technician37
user-account-technician-38, true, "UserIdentity{name: 'Johan', surname: 'Cruyff',email: 'technician38@acme.com'}",technician38,technician38
user-account-technician-39, true, "UserIdentity{name: 'Hristo', surname: 'Stoichkov',email: 'technician39@acme.com'}",technician39,technician39
user-account-technician-40, true, "UserIdentity{name: 'Ronaldo', surname: 'Nazário',email: 'technician40@acme.com'}",technician40,technician40
